CNPJ,nome_fantasia
20.532.268/0001-81,A3MA (ADEGA 728)
43.986.357/0001-01,A5HL (ADEGA A5HL)
34.035.902/0005-09,ASTOR CETENCO
34.035.902/0002-66,ASTOR JK
34.035.902/0001-85,ASTOR OSCAR FREIRE
34.035.902/0003-47,ASTOR SP
34.035.902/0006-90,ASTOR VILA NOVA CONCEICAO
33.603.255/0001-06,BARK e CRUST MEAT HOUSE
15.043.489/0001-56,BBM (Adega Shopping)
61.471.892/0001-01,CASA EUROPA (GRUPO ADEGA)
02.318.956/0018-00,CENTRAL LUMINÁRIAS
57.462.972/0001-15,CEPA BAR
34.035.902/0004-28,ASTOR COFRE
12.740.141/0001-20,DEBETTI DELIVERY
12.740.141/0002-00,DEBETTI IBIRAPUERA
24.860.383/0005-60,DEBETTI IBIRAPUERA
05.001.385/0008-00,DEL. LUMINARIAS
12.740.141/0004-72,DEBETTI DK
28.186.438/0001-25,GINGER PINHEIROS
34.791.807/0001-01,GINGER TUCUNA
10.254.717/0008-90,ICI ALPHAVILLE
10.254.717/0002-02,ICI BELA CINTRA
04.879.925/0001-05,ICI BISTRÔ
10.254.717/0005-47,ICI JK
10.254.717/0004-66,ICI VILLA LOBOS
45.236.954/0002-17,IXE CARAÍBAS
45.236.954/0001-36,IXE COTOXÓ
57.414.472/0001-08,JOBA BURGER POMPEIA
12.365.759/0002-38,LC2
12.365.759/0003-19,LC3
12.365.759/0004-08,LC4
12.365.759/0001-57,LC6
12.365.759/0005-80,LC6
51.600.279/0001-85,LOLLA ITAIM
09.354.764/0001-50,LOLLA ITAIM
24.860.383/0001-36,DEBETTI MANDA BRASA
18.786.642/0006-38,MESTER RAW RESTAURANTE LTDA
46.957.438/0001-63,NOMO
60.543.770/0001-02,NOSE TO TAIL (BARK e CRUST)
02.318.956/0006-76,ORIGINAL
06.287.400/0001-06,PEPPER RESTAURANTE
02.318.956/0003-23,PIRAJÁ ALPHAVILLE
02.318.956/0014-86,PIRAJÁ CENTER NORTE
02.318.956/0020-24,PIRAJÁ CIDADE SP
02.318.956/0009-19,PIRAJÁ DOM PEDRO
02.318.956/0008-38,PIRAJÁ ELDORADO
02.318.956/0004-04,PIRAJÁ MORUMBI
02.318.956/0007-57,PIRAJÁ PAULISTA
02.318.956/0001-61,PIRAJÁ PINHEIRO
02.318.956/0011-33,PIRAJÁ PRAINHA PINHEIROS
02.318.956/0013-03,PIRAJÁ TAMBORE
02.318.956/0005-95,PIRAJÁ VILLA LOBOS
02.318.956/0015-67,PIRAJÁ VILA MARIANA
02.318.956/0012-14,PIRAJÁ PRAINHA ITAIM
12.740.141/0003-91,DEBETTI QUINTAL 
03.572.023/0001-69,SANTE BAR (ADEGA BAR)
51.600.392/0001-60,SARJETA
09.354.764/0003-11,SARJETA LOLLA
52.169.922/0001-20,SÃO CARLOS IBIRAPUERA
20.661.842/0001-00,SÃO CARLOS TATUAPÉ
23.162.604/0001-30,SÃO CARLOS VILA MARIANA
61.176.418/0001-49,TABERNA 474 (ADEGA LANCHE)
10.254.717/0009-70,TRATTORIA PINHEIROS
10.254.717/0006-28,TRATTORIA TAMBORE
62.789.580/0001-03,ZDELI PINHEIROS
18.786.642/0008-08,ZDELI CENTRAL
58.558.570/0001-81,ZDELI HADDOCK LOBO
18.786.642/0004-76,ZDELI IAB - REPUBLICA
62.452.992/0001-45,ZDELI ITAIM
24.380.002/0002-00,ZDELI MOOCA
18.786.642/0001-23,ZDELI OSCAR FREIRE
62.251.536/0001-37,ZDELI REBOUÇAS
